Airport,Airport_Name,Delay_Type,Distribution,KS_Statistic,P_value,AIC,BIC,P90,P95,P99,Sample_Size,Data_P90,Data_P95,Data_P99
LBBG,Burgas,positive,Log-Normal,0.029523586222308995,2.1690521078233993e-08,72966.329957587,72988.10934852908,26.796764078455404,38.037657105246836,72.89949259250206,10507,25.516666666666666,33.56166666666665,60.59700000000045
LBBG,Burgas,negative,Log-Logistic,0.03321436544047385,4.100356856452071e-12,80536.3593547684,80558.58323766658,21.880733051620894,31.0313555173557,66.20330670966763,12185,20.1,25.233333333333334,37.52199999999999
LBBG,Burgas,negative,Burr XII,0.011934431555837732,0.06167230338564389,79346.68524073303,79376.31708459726,19.824692067674963,25.080772004297177,40.876159717026525,12185,20.1,25.233333333333334,37.52199999999999
LBBG,Burgas,negative,Generalized Gamma,0.12279948836172816,1.3459913118647247e-160,80937.99812172416,80967.62996558839,22.82010902755155,31.857263443390597,56.669895164819735,12185,20.1,25.233333333333334,37.52199999999999
LBBG,Burgas,negative,Weibull,0.02423465905327349,1.1947466656359305e-06,79746.8840388517,79769.10792174988,21.39102800950936,26.861097113513647,38.97022279308994,12185,20.1,25.233333333333334,37.52199999999999
LBBG,Burgas,negative,Gamma,0.9055510394789028,0.0,193138.12799786442,193160.35188076258,0.19964285410491991,0.7402480292390909,3.28636589368464,12185,20.1,25.233333333333334,37.52199999999999
LBBG,Burgas,negative,Log-Normal,0.03223048044153798,1.9720106516835737e-11,80122.18816798733,80144.41205088551,20.850743300710118,27.450231066418052,45.4431243548663,12185,20.1,25.233333333333334,37.52199999999999
LDZA,Zagreb,positive,Log-Logistic,0.031046238537096482,4.962554780804197e-25,200415.05844600848,200439.92193950055,25.76902631611976,38.92337809028766,96.04970612514776,29373,23.05,30.473333333333297,51.071333333333314
LDZA,Zagreb,positive,Burr XII,0.007561546184692902,0.06919189896826972,197868.18821504683,197901.33953970292,22.978491926148962,30.82233185385763,57.32696468694561,29373,23.05,30.473333333333297,51.071333333333314
LDZA,Zagreb,positive,Generalized Gamma,0.019874114778472507,1.6493227412118617e-10,198295.4248717745,198328.5761964306,24.292989867748336,31.532696377595983,48.601820877135744,29373,23.05,30.473333333333297,51.071333333333314
LDZA,Zagreb,positive,Weibull,0.0188541179345727,1.6811088508818749e-09,198374.87349333108,198399.73698682315,24.349170032575998,31.255947645487797,47.00706651961526,29373,23.05,30.473333333333297,51.071333333333314
LDZA,Zagreb,positive,Gamma,0.7607536805977383,0.0,384158.65663987724,384183.5201333693,2.0303231592462923,3.413874934224769,7.200205820085799,29373,23.05,30.473333333333297,51.071333333333314
LDZA,Zagreb,positive,Log-Normal,0.029491561861871518,1.2540715270116718e-22,199525.91356872654,199550.7770622186,24.095544456675963,33.20107880594159,60.059722959164056,29373,23.05,30.473333333333297,51.071333333333314
LDZA,Zagreb,negative,Log-Logistic,0.03637171694832264,2.1802889900074727e-25,133750.2064658458,133774.16291244607,18.034033386032014,26.428007921904747,60.811423040384916,21709,16.23666666666668,20.266666666666666,30.683333333333334
LDZA,Zagreb,negative,Burr XII,0.030525300953055612,5.231634993057704e-18,131335.22736252617,131367.1692913265,15.925528306053435,19.830447533550277,31.04223164525093,21709,16.23666666666668,20.266666666666666,30.683333333333334
LDZA,Zagreb,negative,Generalized Gamma,0.020595150641553706,1.978540504409722e-08,132022.7618958672,132054.70382466755,17.13968655281632,21.9268428852755,32.94393722759806,21709,16.23666666666668,20.266666666666666,30.683333333333334
LDZA,Zagreb,negative,Weibull,0.017832800132941473,1.9909842969850234e-06,132059.11328030194,132083.0697269022,17.185724478645174,21.825017713635074,32.25322861086938,21709,16.23666666666668,20.266666666666666,30.683333333333334
LDZA,Zagreb,negative,Gamma,0.860397350170163,0.0,290370.4121743911,290394.36862099136,0.46999104863894825,1.2259349188554483,3.9807957093927824,21709,16.23666666666668,20.266666666666666,30.683333333333334
LDZA,Zagreb,negative,Log-Normal,0.03683702338238648,4.962218794123459e-26,132959.400747611,132983.35719421128,16.879530131170277,22.702638454471554,39.1763297894215,21709,16.23666666666668,20.266666666666666,30.683333333333334
LDSP,Split,positive,Log-Logistic,0.029951472161838272,3.303768506151094e-15,131474.32614574174,131497.87577309101,26.88216378563946,40.106433562388546,96.23505028764001,18956,24.34166666666667,32.05416666666667,55.45666666666681
LDSP,Split,positive,Burr XII,0.00642725452733961,0.41218096205126953,129997.3981865284,130028.79768966074,23.928786519163456,31.864538713085608,58.3476886084633,18956,24.34166666666667,32.05416666666667,55.45666666666681
LDSP,Split,positive,Generalized Gamma,0.025179842082536097,7.131720538672954e-11,130415.61148906272,130447.01099219506,25.85860317204113,33.790469911222274,52.9375562212655,18956,24.34166666666667,32.05416666666667,55.45666666666681
LDSP,Split,positive,Weibull,0.6617574849041303,0.0,181009.3590337511,181032.90866110037,12.94614746064971,40.801018986148236,266.5211040150993,18956,24.34166666666667,32.05416666666667,55.45666666666681
LDSP,Split,positive,Gamma,0.9919117300797861,0.0,446966.92733981134,446990.4769671606,0.016666666666666663,0.01666666666669572,0.020383966166034665,18956,24.34166666666667,32.05416666666667,55.45666666666681
LDSP,Split,positive,Log-Normal,0.026944551537613992,2.1763165168396667e-12,130958.43824841885,130981.98787576811,25.405668776559242,34.76267478448973,62.05241700349834,18956,24.34166666666667,32.05416666666667,55.45666666666681
LDSP,Split,negative,Log-Logistic,0.03525785177696028,5.412338572645326e-12,64517.58135615023,64539.41563357231,17.27266120134967,25.90781081353607,62.89161097637348,10701,15.45,19.716666666666665,31.2
LDSP,Split,negative,Burr XII,0.018445352915964566,0.0013587703626813338,63304.21742026131,63333.32979015742,15.105639965653243,19.394053654126896,32.42552101552294,10701,15.45,19.716666666666665,31.2
