time,airport,out_degree
2023-03-01,LQSA,5
2023-03-01,LWSK,2
2023-03-01,LYTV,2
2023-06-01,BKPR,10
2023-06-01,EDDF,9
2023-06-01,EDDM,11
2023-06-01,EGKK,17
2023-06-01,EGLL,16
2023-06-01,EHAM,13
2023-06-01,EIDW,15
2023-06-01,LATI,15
2023-06-01,LBBG,3
2023-06-01,LBSF,5
2023-06-01,LDDU,10
2023-06-01,LDSP,15
2023-06-01,LDZA,11
2023-06-01,LEBL,11
2023-06-01,LEMD,6
2023-06-01,LFPG,16
2023-06-01,LIRF,10
2023-06-01,LQSA,18
2023-06-01,LWSK,15
2023-06-01,LYTV,9
